sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"A1","Neomel","Neomel","Mnelei3E3","Sample","39.6","6.8%","25316","826","24490","82.88"
"A2","Neomel","Neomel","MST0452","Sample","0.048","274.4%","25330","1","25329","71.65"
"A3","Neomel","Neomel","MST1010","Sample","0.049","274.5%","24424","1","24423","77.39"
"B1","Neomel","Neomel","Mnelei3E2","Sample","3.8","22.6%","25455","76","25379","89.25"
"B2","Neomel","Neomel","MST0459","Sample","0.051","274.4%","25369","1","25368","74.2"
"B3","Neomel","Neomel","MST1013","Sample","0.0","-","19088","0","19088","120.36"
"C1","Neomel","Neomel","MST0147","Sample","0.0","-","25473","0","25473","75.48"
"C2","Neomel","Neomel","MST0504","Sample","0.0","-","25429","0","25429","71.66"
"C3","Neomel","Neomel","MST1016","Sample","0.060","274.4%","21271","1","21270","75.48"
"D1","Neomel","Neomel","MST0356","Sample","0.151","130%","25462","3","25459","76.12"
"D2","Neomel","Neomel","MST0547","Sample","0.055","274.4%","23981","1","23980","73.57"
"D3","Neomel","Neomel","MST1023","Sample","0.0","-","18147","0","18147","116.85"
"E1","Neomel","Neomel","MST0364","Sample","0.050","274.5%","25486","1","25485","73.57"
"E2","Neomel","Neomel","MST1002","Sample","0.0","-","25439","0","25439","72.93"
"E3","Neomel","Neomel","MST1049","Sample","0.0","-","18305","0","18305","116.53"
"F1","Neomel","Neomel","MST0406","Sample","0.0","-","25463","0","25463","75.48"
"F2","Neomel","Neomel","MST1003","Sample","0.0","-","25465","0","25465","74.2"
"F3","Neomel","Neomel","MST1051","Sample","0.055","274.3%","23647","1","23646","72.61"
"G1","Neomel","Neomel","MST0435","Sample","0.102","168.7%","25440","2","25438","74.2"
"G2","Neomel","Neomel","MST1005","Sample","0.0","-","25460","0","25460","74.2"
"G3","Neomel","Neomel","MST1052","Sample","0.0","-","25374","0","25374","71.66"
"H1","Neomel","Neomel","MST0439","Sample","0.0","-","19075","0","19075","121"
"H2","Neomel","Neomel","MST1006","Sample","0.048","274.4%","25453","1","25452","80.58"
"H3","Neomel","Neomel","NTC2","Non Template Control","0.048","274.4%","25423","1","25422","80.58"
