sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"A1","myaare_mix","myaare","Mnelei3E3","Sample","741.8","1.6%","24959","11554","13405","59.92"
"A2","myaare_mix","myaare","MST0452","Sample","0.0","-","23804","0","23804","56.35"
"A3","myaare_mix","myaare","MST1010","Sample","1.8","32.2%","25214","38","25176","68.85"
"B1","myaare_mix","myaare","Mnelei3E2","Sample","73.5","5.3%","23215","1307","21908","61.2"
"B2","myaare_mix","myaare","MST0459","Sample","0.0","-","19098","0","19098","100.6"
"B3","myaare_mix","myaare","MST1013","Sample","0.0","-","12277","0","12277","153.13"
"C1","myaare_mix","myaare","MST0147","Sample","0.112","274.4%","11456","1","11455","97.09"
"C2","myaare_mix","myaare","MST0504","Sample","0.0","-","4726","0","4726","200.56"
"C3","myaare_mix","myaare","MST1016","Sample","0.0","-","17183","0","17183","100.6"
"D1","myaare_mix","myaare","MST0356","Sample","0.0","-","19096","0","19096","99.32"
"D2","myaare_mix","myaare","MST0547","Sample","0.0","-","19096","0","19096","97.73"
"D3","myaare_mix","myaare","MST1023","Sample","37.1","9.8%","14023","396","13627","53.55"
"E1","myaare_mix","myaare","MST0364","Sample","0.673","64.9%","19093","10","19083","99.96"
"E2","myaare_mix","myaare","MST1002","Sample","0.0","-","17909","0","17909","96.13"
"E3","myaare_mix","myaare","MST1049","Sample","0.0","-","17016","0","17016","99.32"
"F1","myaare_mix","myaare","MST0406","Sample","0.0","-","12730","0","12730","148.98"
"F2","myaare_mix","myaare","MST1003","Sample","0.0","-","17350","0","17350","98.37"
"F3","myaare_mix","myaare","MST1051","Sample","0.059","274.3%","21906","1","21905","47.43"
"G1","myaare_mix","myaare","MST0435","Sample","0.0","-","19088","0","19088","99.96"
"G2","myaare_mix","myaare","MST1005","Sample","0.0","-","15599","0","15599","46.16"
"G3","myaare_mix","myaare","MST1052","Sample","0.0","-","25440","0","25440","53.8"
"H1","myaare_mix","myaare","MST0439","Sample","0.0","-","3740","0","3740","199.6"
"H2","myaare_mix","myaare","MST1006","Sample","0.0","-","16039","0","16039","100.6"
"H3","myaare_mix","myaare","NTC2","Non Template Control","0.0","-","17347","0","17347","46.79"
