sep=,
"","Reaction Mix","Target","Sample/NTC/Control","Type","Concentration (copies/µL)","CI (95%)","Partitions (valid)","Partitions (positive)","Partitions (negative)","Threshold"
"A2","Mnelei","Mnelei","MST0452","Sample","41.1","6.7%","25401","835","24566","33.15"
"A3","Mnelei","Mnelei","MST1010","Sample","0.808","48.9%","25185","17","25168","37.23"
"B1","Mnelei","Mnelei","Mnelei3E2","Sample","6.5","17.2%","25429","131","25298","36.98"
"B2","Mnelei","Mnelei","MST0459","Sample","31.7","7.9%","25458","615","24843","35.7"
"B3","Mnelei","Mnelei","MST1013","Sample","1039.4","1.4%","25464","14300","11164","28.05"
"C1","Mnelei","Mnelei","MST0147","Sample","0.0","-","25463","0","25463","37.23"
"C2","Mnelei","Mnelei","MST0504","Sample","40.3","7.1%","25450","755","24695","35.7"
"C3","Mnelei","Mnelei","MST1016","Sample","178.4","3.3%","25454","3300","22154","33.15"
"D1","Mnelei","Mnelei","MST0356","Sample","118.9","4%","25457","2252","23205","33.15"
"D2","Mnelei","Mnelei","MST0547","Sample","194.2","3.2%","25456","3457","21999","34.42"
"D3","Mnelei","Mnelei","MST1023","Sample","398.9","2.2%","25469","6754","18715","31.88"
"E1","Mnelei","Mnelei","MST0364","Sample","0.252","95.7%","25448","5","25443","40.42"
"E2","Mnelei","Mnelei","MST1002","Sample","0.0","-","25430","0","25430","38.51"
"E3","Mnelei","Mnelei","MST1049","Sample","2594.6","0.9%","25462","22010","3452","33.15"
"F1","Mnelei","Mnelei","MST0406","Sample","0.460","68.7%","25454","9","25445","38.51"
"F2","Mnelei","Mnelei","MST1003","Sample","201.2","3.2%","25463","3485","21978","35.7"
"F3","Mnelei","Mnelei","MST1051","Sample","2334.1","0.9%","25252","21116","4136","35.7"
"G1","Mnelei","Mnelei","MST0435","Sample","229.1","2.9%","25476","4117","21359","39.52"
"G2","Mnelei","Mnelei","MST1005","Sample","146.5","3.7%","25480","2684","22796","34.42"
"G3","Mnelei","Mnelei","MST1052","Sample","0.0","-","25385","0","25385","44.88"
"H1","Mnelei","Mnelei","MST0439","Sample","386.2","2.2%","25417","6974","18443","38.25"
"H2","Mnelei","Mnelei","MST1006","Sample","135.8","3.7%","25487","2685","22802","39.52"
"H3","Mnelei","Mnelei","NTC2","Non Template Control","0.0","-","25325","0","25325","43.6"
